[2026-06-11 21:24:08,246] INFO [RockTool] 设备检测: CUDA 不可用，使用 CPU
[2026-06-11 21:24:37,296] INFO [RockTool] 模型加载成功: D:\Heart_Cat\project-ws\loke_tools\dist\models\box\box_model_n1.pt
[2026-06-11 21:24:37,374] INFO [RockTool] 模型加载成功: D:\Heart_Cat\project-ws\loke_tools\dist\models\attr\attr_model_n1.pt
[2026-06-11 21:24:56,829] INFO [RockTool] 设备检测: CUDA 不可用，使用 CPU
[2026-06-11 21:24:56,895] ERROR [RockTool] 盒子模型未找到: box_model_250_20_yolo11n.pt
[2026-06-11 21:24:56,896] ERROR [RockTool] 属性模型未找到: attr_model_250_50_yolo11n.pt
[2026-06-11 21:25:46,146] INFO [RockTool] 模型加载成功: D:\Heart_Cat\project-ws\loke_tools\dist\models\box\box_model_n1.pt
[2026-06-11 21:25:46,302] INFO [RockTool] 模型加载成功: D:\Heart_Cat\project-ws\loke_tools\dist\models\attr\attr_model_n1.pt
[2026-06-11 21:25:53,371] INFO [RockTool] 模型加载成功: D:\Heart_Cat\project-ws\loke_tools\dist\models\box\box_model_n1.pt
[2026-06-11 21:25:53,430] INFO [RockTool] 模型加载成功: D:\Heart_Cat\project-ws\loke_tools\dist\models\attr\attr_model_n1.pt
[2026-06-11 21:40:24,859] INFO [RockTool] 设备检测: CUDA 不可用，使用 CPU
[2026-06-11 21:40:27,797] INFO [RockTool] 模型加载成功: D:\Heart_Cat\project-ws\loke_tools\dist\models\box\box_model_n1.pt
[2026-06-11 21:40:27,958] INFO [RockTool] 模型加载成功: D:\Heart_Cat\project-ws\loke_tools\dist\models\attr\attr_model_n1.pt
[2026-06-11 21:40:37,849] INFO [RockTool] 模型加载成功: D:\Heart_Cat\project-ws\loke_tools\dist\models\box\box_model_n1.pt
[2026-06-11 21:40:37,906] INFO [RockTool] 模型加载成功: D:\Heart_Cat\project-ws\loke_tools\dist\models\attr\attr_model_n1.pt
[2026-06-11 21:40:49,132] INFO [RockTool] 设备检测: CUDA 不可用，使用 CPU
[2026-06-11 21:40:52,052] INFO [RockTool] 模型加载成功: D:\Heart_Cat\project-ws\loke_tools\dist\models\box\box_model_n1.pt
[2026-06-11 21:40:52,102] INFO [RockTool] 模型加载成功: D:\Heart_Cat\project-ws\loke_tools\dist\models\attr\attr_model_n1.pt
[2026-06-11 21:41:03,935] INFO [RockTool] 开始识别
[2026-06-11 21:42:04,071] INFO [RockTool] 停止识别
[2026-06-11 21:42:16,370] INFO [RockTool] 设备检测: CUDA 不可用，使用 CPU
[2026-06-11 21:42:19,452] INFO [RockTool] 模型加载成功: D:\Heart_Cat\project-ws\loke_tools\dist\models\box\box_model_n1.pt
[2026-06-11 21:42:19,605] INFO [RockTool] 模型加载成功: D:\Heart_Cat\project-ws\loke_tools\dist\models\attr\attr_model_n1.pt
[2026-06-11 21:50:22,655] INFO [RockTool] 设备检测: CUDA 不可用，使用 CPU
[2026-06-11 21:50:25,515] INFO [RockTool] 模型加载成功: D:\Heart_Cat\project-ws\loke_tools\dist\models\box\box_model_n1.pt
[2026-06-11 21:50:25,667] INFO [RockTool] 模型加载成功: D:\Heart_Cat\project-ws\loke_tools\dist\models\attr\attr_model_n1.pt
[2026-06-11 22:02:43,760] INFO [RockTool] 设备检测: CUDA 不可用，使用 CPU
[2026-06-11 22:02:46,572] INFO [RockTool] 模型加载成功: D:\Heart_Cat\project-ws\loke_tools\dist\models\box\box_model_n1.pt
[2026-06-11 22:02:46,719] INFO [RockTool] 模型加载成功: D:\Heart_Cat\project-ws\loke_tools\dist\models\attr\attr_model_n1.pt
[2026-06-11 22:03:32,264] INFO [RockTool] 设备检测: CUDA 不可用，使用 CPU
[2026-06-11 22:03:35,421] INFO [RockTool] 模型加载成功: D:\Heart_Cat\project-ws\loke_tools\dist\models\box\box_model_n1.pt
[2026-06-11 22:03:35,583] INFO [RockTool] 模型加载成功: D:\Heart_Cat\project-ws\loke_tools\dist\models\attr\attr_model_n1.pt
[2026-06-11 22:11:02,386] INFO [RockTool] 设备检测: CUDA 不可用，使用 CPU
[2026-06-11 22:11:05,485] INFO [RockTool] 模型加载成功: D:\Heart_Cat\project-ws\loke_tools\dist\models\box\box_model_n1.pt
[2026-06-11 22:11:05,645] INFO [RockTool] 模型加载成功: D:\Heart_Cat\project-ws\loke_tools\dist\models\attr\attr_model_n1.pt
[2026-06-11 22:22:19,665] INFO [RockTool] 设备检测: CUDA 不可用，使用 CPU
